ID_Patente;Data_Publicacao;Requerente;Titulo;Link_Espacenet;Aviso_Tecnologia;Curacao_Manual;Notas;CPCs;Family_ID
CA3112716A1;20110623;ARROWHEAD RES CORPORATION [US] | ARROWHEAD RESEARCH CORPORATION;ORGANIC COMPOSITIONS TO TREAT HSF1-RELATED DISEASES;https://worldwide.espacenet.com/publicationDetails/biblio?CC=CA&NR=3112716&KC=A1&FT=D;;;;A61K31/7105, A61K31/713, A61K45/06, A61K48/00, A61P19/02, A61P29/00, A61P31/12, A61P31/18, A61P31/20, A61P31/22, A61P35/00, A61P35/02, A61P35/04, A61P37/02, A61P37/06, A61P37/08, A61P43/00, C07H21/02, C12N15/113, C12N15/1138, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2320/31, C12N2320/51, C12N2320/53, Y02A50/30;43646461
CA3106285A1;20130131;NATIONWIDE CHILDRENS HOSPITAL INC [US] | NATIONWIDE CHILDREN'S HOSPITAL, INC;RECOMBINANT VIRUS PRODUCTS AND METHODS FOR INHIBITION OF EXPRESSION OF DUX4;https://worldwide.espacenet.com/publicationDetails/biblio?CC=CA&NR=3106285&KC=A1&FT=D;;;;A61P21/00, C12N15/113, C12N15/86, C12N2310/11, C12N2310/141, C12N2320/30, C12N2330/51, C12N2750/00032, C12N2750/14132, C12N2750/14143;47601499
CA2961523A1;20160324;GENZYME CORP [US] | GENZYME CORPORATION;ADENO-ASSOCIATED VIRAL VECTORS FOR TREATING MYOCILIN (MYOC) GLAUCOMA;https://worldwide.espacenet.com/publicationDetails/biblio?CC=CA&NR=2961523&KC=A1&FT=D;;;;A61K31/7105, A61K31/713, A61K38/1709, A61K48/00, A61K48/0058, A61K48/0075, A61K9/0048, A61P27/02, A61P27/06, C07K14/47, C12N15/111, C12N15/113, C12N15/86, C12N15/864, C12N2310/14, C12N2310/531, C12N2320/31, C12N2330/51, C12N2750/14132, C12N2750/14143, C12N2750/14171, C12N7/00;58640637
EP3680334A1;20200715;BEIJING TIDE PHARMACEUTICAL CO LTD [CN] | Beijing Tide Pharmaceutical Co., Ltd;DOUBLE-STRANDED RNA MOLECULE TARGETING CKIP-1 AND USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=3680334&KC=A1&FT=D;;;;A61K31/713, A61K45/06, A61K48/00, A61P19/02, A61P19/08, A61P19/10, A61P29/00, C12N15/113, C12N15/63, C12N15/85, C12N2310/14, C12N2310/314, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/334, C12N2310/335, C12N2320/11;65633590
CN112442500A;20210305;ENZHI GUANGZHOU PHARMACEUTICAL TECH CO LTD | ENKANG PHARMACEUTICAL TECH GUANGZHOU CO LTD | FOSHAN YINGTE MEDICINE TECH CO LTD | GUANGZHOU YINGTE GENE TECH CO LTD | 恩智（广州）医药科技有限公司, | 恩康药业科技（广州）有限公司, | 佛山英特医药科技有限公司, | 广州英特基因科技有限公司;siRNA for inhibiting MCM7, composition and application of siRNA;https://worldwide.espacenet.com/publicationDetails/biblio?CC=CN&NR=112442500&KC=A&FT=D;;;;A61K31/713, A61P35/00, C07H21/02, C12N15/10, C12N15/113, C12N15/1137, C12N2310/14, C12Y306/04012;74684317
AU2019321375A1;20210311;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC;Hepatitis B virus (HBV) dsRNA agent compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2019321375&KC=A1&FT=D;;;;A61K31/713, A61K45/06, A61K47/549, A61K47/56, A61P31/12, A61P31/20, C12N15/1131, C12N2310/11, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322;67766385
AU2019316103A1;20210311;DYNE THERAPEUTICS INC [US] | DYNE THERAPEUTICS, INC;Muscle targeting complexes and uses thereof for treating facioscapulohumeral muscular dystrophy;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2019316103&KC=A1&FT=D;;;;A61K2039/505, A61K31/713, A61K47/6807, A61K47/6849, A61K47/6889, A61P21/00, C07K14/4705, C07K16/2881, C07K2317/24, C07K2317/33, C07K2317/41, C07K2317/55, C07K2317/622, C07K2317/77, C07K2317/92, C07K2319/50, C12N15/09, C12N15/113, C12N15/1137, C12N15/63, C12N2310/11, C12N2310/14, C12N2310/3145, C12N2310/315, C12N2310/322, C12N2310/3233, C12N2310/341, C12N2310/345, C12N2310/346, C12N2310/3513, C12N2320/32, C12Y204/02008;69232303
US2021069337A1;20210311;ARROWHEAD PHARMACEUTICALS INC [US] | Arrowhead Pharmaceuticals, Inc;INTEGRIN TARGETING LIGANDS AND USES THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2021069337&KC=A1&FT=D;;;;A61K31/55, A61K47/545, A61K47/549, A61K47/60, C07D223/16, C07D401/12, C07D403/12, C07D471/04, C07K14/70546, C07K14/70557, C12N15/111, C12N15/113, C12N15/1138, C12N2310/14, C12N2310/351, C12N2320/32;68295812
AU2019405783A1;20210701;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC, | Alnylam Pharmaceuticals, Inc;Amyloid precursor protein (APP) RNAi agent compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2019405783&KC=A1&FT=D;;;;A61K31/713, A61K48/005, A61K9/0085, A61P25/28, C07K14/4711, C12N15/113, C12N2310/11, C12N2310/14, C12N2310/31, C12N2310/315, C12N2310/3183, C12N2310/321, C12N2310/322, C12N2310/3515, C12N2310/3521, C12N2310/3533, C12N2750/14143;71101909
AU2019419494A1;20210715;RES INST NATIONWIDE CHILDRENS HOSPITAL [US] | RESEARCH INSTITUTE AT NATIONWIDE CHILDREN'S HOSPITAL, | Research Institute at Nationwide Children's Hospital;DUX4 RNA silencing using RNA targeting CRISPR-Cas13b;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2019419494&KC=A1&FT=D;VERIFICAR (Possivel miRNA/CRISPR/ASO);;;A61K31/7105, A61K31/713, A61K35/761, A61K38/465, A61P21/00, A61P35/00, C12N15/11, C12N15/113, C12N15/86, C12N15/907, C12N2310/20, C12N2750/14132, C12N2750/14143, C12N2800/80, C12N2830/008, C12N7/00, C12N9/22;69376003
EP3920884A1;20211215;ARROWHEAD PHARMACEUTICALS INC [US] | JANSSEN PHARMACEUTICALS INC [US] | Arrowhead Pharmaceuticals, Inc, | Janssen Pharmaceuticals, Inc, | GlaxoSmithKline Intellectual Property (No.3) Limited;RNAI AGENTS FOR HEPATITIS B VIRUS INFECTION;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=3920884&KC=A1&FT=D;;;;A61K2300/00, A61K31/522, A61K31/675, A61K31/713, A61K45/06, A61K47/549, A61K48/00, A61K9/0019, A61K9/0021, A61P1/16, A61P31/20, C12N15/1131, C12N2310/14, C12N2310/312, C12N2310/315, C12N2310/317, C12N2310/321, C12N2310/322, C12N2310/343, C12N2310/345, C12N2310/346, C12N2310/351, C12N2310/3521, C12N2310/3533, C12N2320/31, C12N2320/35;69771180
JP2022002518A;20220111;ALNYLAM PHARMACEUTICALS INC | アルナイラム  ファーマシューティカルズ，  インコーポレイテッドＡＬＮＹＬＡＭ  ＰＨＡＲＭＡＣＥＵＴＩＣＡＬＳ，  ＩＮＣ．;ANGIOPOIETIN-LIKE 3 (ANGPTL3) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=JP&NR=2022002518&KC=A&FT=D;;;;A61K31/713, A61K47/549, A61P3/06, C12N15/1136, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/34, C12N2310/344, C12N2310/346, C12N2310/351, C12N2310/3515, C12N2310/3521, C12N2310/3533, C12N2320/32, C12N2320/35, C12N2320/51;55806850
US2022017904A1;20220120;ACTYM THERAPEUTICS INC [US] | Actym Therapeutics, Inc;ENGINEERED IMMUNOSTIMULATORY BACTERIAL STRAINS AND USES THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2022017904&KC=A1&FT=D;;;;A61P35/00, C12N1/205, C12N1/36, C12N15/113, C12N15/1135, C12N15/74, C12N2310/14, C12N2310/141, C12N2310/17, C12N2310/531, C12N2320/32, C12R2001/42, Y02A50/30;63165463
US2022042014A1;20220210;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;APOLIPOPROTEIN C3 (APOC3) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2022042014&KC=A1&FT=D;;;;A61K31/713, A61P3/00, C12N15/113, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/351;74858822
US2022056454A1;20220224;ARROWHEAD PHARMACEUTICALS INC [US] | Arrowhead Pharmaceuticals, Inc;RNAi Agents for Inhibiting Expression of 17beta-HSD Type 13 (HSD17B13), Compositions Thereof, and Methods of Use;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2022056454&KC=A1&FT=D;;;;A61K2300/00, A61K31/713, A61K45/06, A61K47/549, A61P1/16, C12N15/1137, C12N2310/14, C12N2310/315, C12N2310/317, C12N2310/32, C12N2310/321, C12N2310/322, C12N2310/323, C12N2310/331, C12N2310/343, C12N2310/346, C12N2310/351, C12N2310/3521, C12N2310/3533, C12N2320/31, C12Y101/00;69887755
US2022118093A1;20220421;BIONEER CORP [KR] | BIONEER CORPORATION;DOUBLE STRANDED OLIGONUCLEOTIDE CONSTRUCT COMPRISING ANDROGEN RECEPTOR SPECIFIC SEQUENCE, AND COMPOSITION FOR PREVENTING HAIR LOSS AND PROMOTING HAIR GROWTH COMPRISING SAME;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2022118093&KC=A1&FT=D;;;;A61K2800/413, A61K2800/57, A61K31/713, A61K47/26, A61K47/545, A61K47/58, A61K47/59, A61K47/595, A61K47/60, A61K47/6933, A61K47/6935, A61K8/606, A61K8/817, A61K8/8176, A61K8/84, A61K8/86, A61K8/88, A61P17/14, A61Q7/00;70854083
EP3992291A1;20220504;KYLONOVA XIAMEN BIOPHARMA CO LTD [CN] | Kylonova (Xiamen) Biopharma Co., Ltd;NOVEL COMPOUND AND APPLICATION THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=3992291&KC=A1&FT=D;;;;A61K31/713, A61K47/545, A61K47/549, A61K47/55, A61P1/16, A61P31/20, C12N15/113, C12N15/1131, C12N2310/11, C12N2310/14, C12N2310/31, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/351;67815175
US2022184110A1;20220616;TME THERAPEUTICS INC [JP] | TME THERAPEUTICS INC;ESOPHAGEAL STRICTURE SUPPRESSING AGENT;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2022184110&KC=A1&FT=D;;;;A61K31/713, A61K48/00, A61P1/00;73050797
