ID_Patente;Data_Publicacao;Requerente;Titulo;Link_Espacenet;Aviso_Tecnologia;Curacao_Manual;Notas;CPCs;Family_ID
AU2019321375A1;20210311;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC;Hepatitis B virus (HBV) dsRNA agent compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2019321375&KC=A1&FT=D;;;;A61K31/713, A61K45/06, A61K47/549, A61K47/56, A61P31/12, A61P31/20, C12N15/1131, C12N2310/11, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322;67766385
AU2019405783A1;20210701;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS, INC, | Alnylam Pharmaceuticals, Inc;Amyloid precursor protein (APP) RNAi agent compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=AU&NR=2019405783&KC=A1&FT=D;;;;A61K31/713, A61K48/005, A61K9/0085, A61P25/28, C07K14/4711, C12N15/113, C12N2310/11, C12N2310/14, C12N2310/31, C12N2310/315, C12N2310/3183, C12N2310/321, C12N2310/322, C12N2310/3515, C12N2310/3521, C12N2310/3533, C12N2750/14143;71101909
JP2022002518A;20220111;ALNYLAM PHARMACEUTICALS INC | アルナイラム  ファーマシューティカルズ，  インコーポレイテッドＡＬＮＹＬＡＭ  ＰＨＡＲＭＡＣＥＵＴＩＣＡＬＳ，  ＩＮＣ．;ANGIOPOIETIN-LIKE 3 (ANGPTL3) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=JP&NR=2022002518&KC=A&FT=D;;;;A61K31/713, A61K47/549, A61P3/06, C12N15/1136, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/34, C12N2310/344, C12N2310/346, C12N2310/351, C12N2310/3515, C12N2310/3521, C12N2310/3533, C12N2320/32, C12N2320/35, C12N2320/51;55806850
US2022042014A1;20220210;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;APOLIPOPROTEIN C3 (APOC3) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2022042014&KC=A1&FT=D;;;;A61K31/713, A61P3/00, C12N15/113, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/351;74858822
EP4294409A1;20231227;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;FOLLICULIN IRNA COMPOSITIONS AND METHODS THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=4294409&KC=A1&FT=D;;;;A61K31/713, A61K45/06, C12N15/113, C12N2310/14, C12N2310/3125, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/343, C12N2310/351, C12N2320/11, C12N2320/32;82931811
JP2024037849A;20240319;ALNYLAM PHARMACEUTICALS INC | アルナイラム  ファーマシューティカルズ，  インコーポレイテッド;FACTOR XII (HAGEMAN FACTOR) (F12), KALLIKREIN B, PLASMA (FLETCHER FACTOR) 1 (KLKB1), AND KININOGEN 1 (KNG1) IRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=JP&NR=2024037849&KC=A&FT=D;;;;A61K31/713, A61K45/06, A61K47/549, A61P43/00, A61P7/02, A61P7/10, A61P9/00, A61P9/10, A61P9/12, C12N15/113, C12N15/1137, C12N2310/14, C12N2310/31, C12N2310/321, C12N2310/322, C12N2310/344, C12N2310/3521, C12N2310/3533, C12Q1/6883;55971215
US2024191236A1;20240613;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;ANGIOTENSINOGEN (AGT) iRNA COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=2024191236&KC=A1&FT=D;;;;A61K31/7088, A61K31/713, A61P9/00, A61P9/12, C12N15/113, C12N15/1136, C12N2310/14, C12N2310/3125, C12N2310/315, C12N2310/32, C12N2310/321, C12N2310/322, C12N2310/343, C12N2310/351;66770566
IL313082A;20240701;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS INC;Transthyretin (ttr) irna compositions and methods of use thereof for treating or preventing ttr-associated diseases;https://worldwide.espacenet.com/publicationDetails/biblio?CC=IL&NR=313082&KC=A&FT=D;;;;A61K31/713, A61K48/00, A61P25/00, A61P25/02, A61P25/28, A61P43/00, A61P5/14, A61P7/00, A61P9/00, C12N15/113, C12N2310/14, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/344, C12N2310/351, C12N2310/3515, C12N2310/3533, C12N2320/30, C12Q1/6883, C12Q2600/158, C12Q2600/178, G01N2333/47, G01N2800/22, G01N2800/28, G01N2800/2814, G01N2800/32, G01N33/6893;56682264
EP4405484A2;20240731;ALNYLAM PHARMACEUTICALS INC [US] | Alnylam Pharmaceuticals, Inc;MICROTUBULE ASSOCIATED PROTEIN TAU (MAPT) IRNA AGENT COMPOSITIONS AND METHODS OF USE THEREOF;https://worldwide.espacenet.com/publicationDetails/biblio?CC=EP&NR=4405484&KC=A2&FT=D;;;;A61K31/7088, A61K31/713, A61K48/005, A61P25/28, C12N15/113, C12N15/85, C12N2310/14, C12N2310/312, C12N2310/3125, C12N2310/315, C12N2310/321, C12N2310/322, C12N2310/345, C12N2310/346, C12N2310/351, C12N2310/3515, C12N2310/3521, C12N2310/3527, C12N2310/3533, C12N2320/11;85721285
IL313320A;20240801;ALNYLAM PHARMACEUTICALS INC [US] | ALNYLAM PHARMACEUTICALS INC;Tmprss6 irna compositions and methods of use thereof;https://worldwide.espacenet.com/publicationDetails/biblio?CC=IL&NR=313320&KC=A&FT=D;;;;A61K31/713, A61K48/00, A61P25/00, A61P25/14, A61P25/16, A61P25/18, A61P25/28, A61P3/00, A61P7/00, A61P7/06, C12N15/113, C12N15/1137, C12N15/1138, C12N2310/11, C12N2310/14, C12N2310/315, C12N2310/316, C12N2310/32, C12N2310/321, C12N2310/322, C12N2310/343, C12N2310/351, C12N2310/3521, C12N2310/3533, C12N2320/30, C12N9/6424;50943629
