Patent_ID;Family_ID;Country
US2022195406A1;72837592;US
US2022265774A1;58794205;US
US2022291216A1;27580991;US
US2022370487A1;84028798;US
US2023027209A1;84975970;US
US2022025380A1;79688078;US
US2022025375A1;79687921;US
US2022025346A1;77564139;US
US2022025365A1;77338877;US
US2022025359A1;79688079;US
US2024052372A1;74884908;US
US2024042055A1;83320995;US
US2024060037A1;83397940;US
US2024044915A1;82158429;US
US2024060051A1;82158245;US
US2024050461A1;82157573;US
US2023002774A1;84785921;US
US11541101B1;84693278;US
US2023021431A1;78745749;US
US2023029377A1;79281580;US
US2023002771A1;82060092;US
US2023022654A1;81325246;US
US2023002767A1;84229166;US
US2023000897A1;82214220;US
US2023023791A1;82492907;US
US2023025910A1;84527477;US
US2022025360A1;77726512;US
US2022233570A1;73288968;US
US2022218612A1;70919274;US
US2025375499A1;94601697;US
US2022025363A1;79687914;US
US2022184044A1;72612086;US
US2023022489A1;76221009;US
US2023013636A1;76222148;US
US2023015505A1;76222265;US
US2023024461A1;76221975;US
US2023024319A1;73854830;US
US2023024833A1;76222693;US
US2023029363A1;74141456;US
US2023000063A1;76330019;US
US2023002794A1;74236258;US
US2025325698A1;86329349;US
US2022117996A1;79728895;US
US2023026844A1;76330695;US
US2023008217A1;76478289;US
US2023022796A1;69147421;US
US2023020092A1;76478025;US
US2023000962A1;69726548;US
US2023002761A1;73699168;US
US2023016983A1;68808223;US
US2023002453A1;75981339;US
US2023002825A1;75980949;US
US2023009232A1;75980062;US
US2022017971A1;79293316;US
US2025332260A1;95656380;US
US2025319206A1;95519151;US
US2022017907A1;79292042;US
US2023002791A1;73834464;US
US2023002510A1;76129647;US
US2023002793A1;74106116;US
US2023000915A1;76130245;US
US2023001020A1;76130680;US
US2023021879A1;76129612;US
US2023022117A1;76222663;US
US2025270573A1;86286365;US
US2025268940A1;86386624;US
US2025270586A1;88420699;US
US2025268992A1;86469198;US
US12416021B1;97064883;US
US2023011179A1;75716293;US
US2023024933A1;75847224;US
US2023002766A1;73699423;US
US2023020089A1;75849155;US
US2023000934A1;75848743;US
US2023008266A1;75848714;US
US2023001019A1;73654921;US
US2023002765A1;73643353;US
US2023002770A1;73455726;US
US2023000783A1;75912841;US
US2023022576A1;68733434;US
US2023010683A1;67437514;US
US2023018989A1;74101178;US
US2023018417A1;72340400;US
US2023002764A1;72322528;US
US2023002466A1;72243240;US
US2023018254A1;72243267;US
US2023024849A1;72433092;US
US2023016656A1;74683321;US
US2023017979A1;74683533;US
US2023013402A1;74853042;US
US2023002503A1;74866549;US
US2023025039A1;72752508;US
US2023021636A1;75166843;US
US2023000914A1;75620832;US
US2025268166A1;83361295;US
US2025270585A1;86073023;US
US2023012687A1;70416544;US
US2023015481A1;73290056;US
US2023012923A1;73679199;US
US2023025130A1;73746347;US
US2023022146A1;71465457;US
US2023027604A1;71949646;US
US2022054524A1;69005729;US
US2025222103A1;88372300;US
US2025243505A1;82701618;US
US2025234846A1;89910298;US
US2025270663A1;96812661;US
US2025270580A1;96812608;US
US2025270578A1;94871235;US
US2025269060A1;90479119;US
US2025269057A1;79269765;US
US2025270528A1;74189011;US
US2023002762A1;65011984;US
US2023002822A1;68985182;US
US2023002811A1;60643750;US
US2023000798A1;61017363;US
US2023024153A1;61689625;US
US2023002469A1;60190939;US
US2022009978A1;79172261;US
US2022010332A1;79172291;US
US2023002746A1;75716473;US
US2023026007A1;69101280;US
US2023021641A1;69591381;US
US2023002790A1;70163899;US
US2023002722A1;69160094;US
US2023027885A1;71073393;US
US2023002745A1;71736378;US
US2023012428A1;72337007;US
US2023020192A1;58662804;US
US2023001015A1;60041940;US
US2023022700A1;60116429;US
US2025146059A1;95537468;US
US2025171778A1;88519762;US
US2025171775A1;87801575;US
US11220694B1;79169269;US
US2022008547A1;79172010;US
US2023000849A1;63371135;US
US2023002471A1;63678226;US
US2023014906A1;63143281;US
US2023002754A1;64737911;US
US2023029227A1;65362970;US
US2023025756A1;65630200;US
US2023028069A1;65810976;US
US2023000895A1;66173915;US
US2023025572A1;47623953;US
US2023025574A1;50933493;US
US2023026968A1;51932569;US
US2023025279A1;52811198;US
US2023026726A1;52824601;US
US2023002768A1;54835647;US
US2025108132A1;89191998;US
US2025144242A1;95531900;US
US2023009757A1;62019501;US
US2023002775A1;60923891;US
US2023019381A1;60935785;US
US2023015276A1;55534004;US
US2023001016A1;55858408;US
US2023002760A1;55802460;US
US2023020545A1;57072929;US
US2023022185A1;56682264;US
US2023011438A1;48781968;US
US2023053360A1;85229165;US
US2023056268A1;85229030;US
US2023058864A1;85228481;US
US2023058740A1;85228361;US
US2023059192A1;83005942;US
US2025082682A1;88836095;US
US2025075241A1;82652672;US
US2023024869A1;58640844;US
US2023001018A1;60267403;US
US2022001005A1;58289728;US
US2023002776A1;48045750;US
US2023013524A1;49670710;US
US2023002763A1;50478080;US
US2023002772A1;49841845;US
US2023013773A1;49448268;US
US2022002725A1;79166614;US
US2022002354A1;79166627;US
US2025017181A1;58488520;US
US2025084130A1;94820156;US
US2025101390A1;89119072;US
US2025101469A1;89470424;US
US2025101415A1;86331012;US
US2023054720A1;73698674;US
US2023057482A1;85228070;US
US2023028937A1;39639202;US
US2023022727A1;43050517;US
US2023023015A1;43732828;US
US2023028975A1;45067335;US
US2023028168A1;45594542;US
US2023016456A1;46084653;US
US2023010288A1;48430225;US
US2023048564A1;83447898;US
US2022389419A1;75436777;US
US2022002755A1;79166621;US
US2022000988A1;79166404;US
US2022002716A1;77051197;US
US2025011751A1;88731554;US
US2023039652A1;85153525;US
US2023037671A1;85153265;US
US2023045314A1;85153038;US
US2023040823A1;85153648;US
US2023040280A1;85153484;US
US2023035774A1;85037528;US
US2022411877A1;57835293;US
US2022380417A1;62018720;US
US2022390446A1;60702961;US
US2023034581A1;82492872;US
US2023052243A1;82308458;US
US2023032141A1;82694238;US
US2022403419A1;75981465;US
US2025387498A1;63667311;US
US2023037582A1;82404070;US
US2023048492A1;84544762;US
US2023045095A1;82781064;US
US2023035308A1;84691580;US
US2023034093A1;82742788;US
US2023058054A1;76958655;US
US2023040061A1;84802098;US
US2023037524A1;82943224;US
US2023047473A1;82608599;US
US2023044997A1;83188398;US
US2023042422A1;84920570;US
US2023047776A1;84919651;US
US2022002718A1;79166615;US
US2022016032A1;79032945;US
US2022002726A1;76829594;US
US2025302991A1;93333657;US
US2025304967A1;88315920;US
US12473572B1;97721660;US
US2022403438A1;75438064;US
US2023059929A1;77564145;US
US2023044380A1;80322441;US
US2023040398A1;80492288;US
US2023050559A1;78806629;US
US2023051548A1;81707965;US
US2023054437A1;80050633;US
US2023041268A1;81308117;US
US2023054648A1;83932886;US
US2023042451A1;82067447;US
US2023056788A1;77390241;US
US2023043648A1;77491960;US
US2023040053A1;76573362;US
US2022002822A1;77749104;US
US2022010309A1;77892398;US
US2025270661A1;65520051;US
US2025269056A1;88516521;US
US2022002706A1;78467410;US
US2022025364A1;78829905;US
US2022002675A1;78830599;US
US2023048677A1;77616257;US
US2023058352A1;75539896;US
US2023040261A1;77672289;US
US2023056278A1;77929830;US
US2023049003A1;78269987;US
US2022002424A1;78846545;US
US2025270609A1;96812616;US
US2025234829A1;87935983;US
US2025270583A1;90831729;US
US2025269038A1;95581426;US
US2023039520A1;76864702;US
