Patent_ID;Family_ID;Country
US2025376682A1;42062316;US
US2025346906A1;44761389;US
US2025034566A1;48326393;US
US2025075208A1;51230239;US
US2025188475A1;52573741;US
US2025043279A1;62195353;US
US2025171777A1;87565165;US
US2025084417A1;85571199;US
US2025051767A1;86731386;US
US2025011776A1;84365463;US
US2025027080A1;84365585;US
US2025223588A1;86059614;US
US2025019698A1;83902729;US
US2025136978A1;85603655;US
US2025051779A1;83690455;US
US2024076664A1;55971215;US
US2024175024A1;51867849;US
US2024110180A1;47423221;US
US2024093199A1;38694697;US
US2024209358A1;78824792;US
US2024011032A1;80950831;US
US2024067972A1;78179533;US
US2024294906A1;80036702;US
US2024018515A1;76012030;US
US2024209369A1;73139474;US
US2024141358A1;73198476;US
US2024200061A1;68172281;US
US2024294912A1;64607297;US
US2024075052A1;63841019;US
US2024301406A1;59270119;US
US2024287524A1;56369203;US
US2024279653A1;82931811;US
US2024150767A1;80685013;US
US2024117349A1;82653867;US
US2024116973A1;82447573;US
US2024132886A1;80123353;US
US2024336914A1;81074293;US
US2024343746A1;80050947;US
US2024117348A1;79164969;US
US2022042014A1;74858822;US
US2024317794A1;92803874;US
US2023390321A1;56236115;US
US2023310485A1;57441647;US
US2023026968A1;51932569;US
US2023002772A1;49841845;US
US2023010288A1;48430225;US
US2023053332A1;41268470;US
US2024344073A1;93017098;US
US2023024849A1;72433092;US
US2023032974A1;72235011;US
US2023049529A1;74040502;US
US2023128522A1;67766385;US
US2023122244A1;65041929;US
US2023101828A1;64664429;US
US2023029227A1;65362970;US
US2023093948A1;57750612;US
US2023022185A1;56682264;US
US2022002724A1;71101909;US
US2022370356A1;68281954;US
US2023125933A1;77391798;US
US2023136787A1;74853776;US
US2023136552A1;74673382;US
US2023126233A1;76992618;US
US2023021879A1;76129612;US
US2023056569A1;73854927;US
US2023002765A1;73643353;US
US2023304002A1;73643340;US
US2023016929A1;73646550;US
US2023040920A1;73598197;US
US2023257745A1;77249879;US
US2022290145A1;68540971;US
US2022125823A1;66669075;US
US2022305045A1;64665390;US
US2022403394A1;65002248;US
US2022267767A1;63036369;US
US2022177885A1;62908671;US
US11504391B1;60888585;US
US2022202847A1;58672695;US
US2022033825A1;59013584;US
US2023220396A1;81597908;US
US2023133637A1;80820312;US
US2022403377A1;35530789;US
US2023340473A1;88416848;US
US2022307083A1;47422949;US
US2022073925A1;47423191;US
US2022155716A1;47423236;US
US2022213475A1;43796190;US
US2022348915A1;41682880;US
US2022243199A1;41349261;US
US2022008541A1;40599687;US
US2022380771A1;56555882;US
US2022042012A1;56550357;US
US2022119815A1;55806850;US
US2022372487A1;55802499;US
US2022117999A1;55411755;US
US2022127604A1;56127628;US
US11408001B1;54704147;US
US2022002734A1;54477246;US
US2022403381A1;54200117;US
US2022162602A1;54151419;US
US2022252593A1;55400823;US
US2022002727A1;53969461;US
US2022213486A1;52293222;US
US2022213473A1;51795760;US
US2022378921A1;48980371;US
US2022111053A1;47470195;US
US2025011778A1;85506914;US
US2025034567A1;85411650;US
US2025043289A1;82898943;US
US2025075217A1;85087353;US
US2025025564A1;84920550;US
US2025188470A1;84920555;US
US2025270562A1;82748579;US
US2025304613A1;84801021;US
US2025084418A1;84230316;US
US2025283071A1;82549549;US
US2025197855A1;69887925;US
US2025257358A1;68073253;US
US2025019699A1;67777465;US
US2025163417A1;68467615;US
US2025188456A1;65024027;US
US2025017953A1;63080524;US
EP4504938A2;88203639;EP
EP4518871A1;88647223;EP
EP4522742A2;86732265;EP
EP4547852A2;89381529;EP
EP4547683A2;87556345;EP
EP4594492A1;88689589;EP
EP4561631A2;90479156;EP
EP4658280A2;92147342;EP
EP4393495A2;56851713;EP
EP4305169A1;80937151;EP
EP4308130A1;83320836;EP
EP4313076A1;83397914;EP
EP4314293A1;81308558;EP
EP4326877A1;83722638;EP
EP4298218A1;80685505;EP
EP4298220A1;80738860;EP
EP4301858A1;83155551;EP
EP4334448A1;81748417;EP
EP4341401A1;81927694;EP
EP4347823A1;82156510;EP
EP4351541A2;82403614;EP
EP4359522A1;84545942;EP
EP4367246A2;84802091;EP
EP4373934A1;82851707;EP
EP4408438A1;85783703;EP
EP4413378A1;84331708;EP
EP4330389A2;83848691;EP
EP4330396A1;81750529;EP
EP4141116A1;47295193;EP
EP4121534A1;75439543;EP
EP3969052A1;71069951;EP
EP3983077A1;74037582;EP
EP4007811A2;72087300;EP
EP4007812A1;72087301;EP
EP4038189A1;73014635;EP
EP4133077A1;75540008;EP
EP4133076A1;75540002;EP
EP4153746A1;76601702;EP
EP4162033A2;78846531;EP
EP4161532A2;78845901;EP
EP4162050A1;76731057;EP
EP4165186A1;79268288;EP
EP4210712A2;80629849;EP
EP4225917A1;78402276;EP
EP4110920A1;77490365;EP
EP4114948A1;75252837;EP
EP4114949A1;75252841;EP
EP4114947A1;75173479;EP
EP4127168A1;77890628;EP
EP4127173A1;77890720;EP
EP4127134A1;77929455;EP
EP4127171A2;75581686;EP
EP4232582A1;78695817;EP
EP4647079A2;54542627;EP
WO2024259190A2;93852914;WO
WO2024238385A2;91432498;WO
WO2024226789A1;93257297;WO
WO2024216109A1;93060283;WO
WO2024216155A1;91029925;WO
WO2024168010A2;90368302;WO
WO2024129931A1;89768318;WO
WO2024059165A1;88315920;WO
WO2024039776A2;88021105;WO
WO2024077148A1;90608833;WO
WO2025128622A1;94117054;WO
