Patent_ID;Family_ID;Country
US11510939B1;84230742;US
US2025263707A1;96740440;US
US2022235354A1;72941017;US
US2022362398A1;72941793;US
US2025304968A1;97178118;US
US2022315930A1;73028872;US
US2022213534A1;73029157;US
US2022025430A1;73050897;US
US2022275454A1;73289016;US
US12421274B1;97107637;US
US2022040219A1;72611670;US
US2022010348A1;72609521;US
US2022206005A1;66323672;US
US2022033917A1;70740729;US
US2022193246A1;70554242;US
US2022056518A1;72837656;US
US2024272143A1;82694101;US
US2024301418A1;84545942;US
US2024409927A1;84802091;US
US2024344070A1;82851707;US
US2024360468A1;85088125;US
US2024067975A1;90001165;US
US2024084304A1;86396260;US
US2025270609A1;96812616;US
US2025090570A1;84545898;US
US2025376682A1;42062316;US
US2025163422A1;95715894;US
US12305170B1;95715889;US
US12281306B1;95402618;US
US12281309B1;95402642;US
US12281311B1;95402610;US
US2022372486A1;84102673;US
US2025230146A1;94281097;US
US2025297251A1;87884320;US
US2025255913A1;89852454;US
US2025215437A1;68698456;US
US2025340878A1;68766707;US
US2025277216A1;76329673;US
US2025034589A1;78595195;US
US2022288228A1;83195386;US
US2024093199A1;38694697;US
US2024110180A1;47423221;US
US2024287524A1;56369203;US
US2024301406A1;59270119;US
US2024033364A1;63678634;US
US2024175028A1;83155551;US
US2024279653A1;82931811;US
US2024124882A1;80738860;US
US2025263715A1;76300939;US
US2025019769A1;85241057;US
US2025319139A1;85603642;US
US2025002857A1;86059492;US
US2025197439A1;86006690;US
US2025352672A1;88731130;US
US2025340887A1;87136772;US
US2022275366A1;83006944;US
US2024401129A1;91664859;US
US2024401028A1;93653950;US
US2024401023A1;91585548;US
US2024409919A1;93745376;US
US2024410025A1;93745385;US
US12168674B1;93845700;US
US2024417729A1;93844944;US
US2024425930A1;93928715;US
US2025346958A1;46048110;US
US2025368994A1;97872973;US
US2022251568A1;82704881;US
US2025017220A1;94212232;US
US2024076677A1;63169989;US
US2024041914A1;64016305;US
US2024109931A1;64455646;US
US2024175018A1;64456268;US
US2024132894A1;64456312;US
US2024043845A1;63244969;US
US2024076270A1;66332633;US
US2024182896A1;56614905;US
US2024409940A1;57143360;US
US2024076664A1;55971215;US
US2024000710A1;57834582;US
US2025043271A1;61005785;US
US2025313906A1;57006413;US
US2024398988A1;63683640;US
US2024352457A1;69160106;US
US2024141342A1;70728876;US
US2024148891A1;75538646;US
US2024141358A1;73198476;US
US2024209369A1;73139474;US
US2024018515A1;76012030;US
US2024093188A1;78744887;US
US2024238449A1;71130910;US
US2024016952A1;80038121;US
US2024218387A1;72670668;US
US2024175019A1;80630093;US
US2024067972A1;78179533;US
US2025163414A1;35781530;US
US2025313843A1;41431871;US
US2025360089A1;58631051;US
US2025136995A1;58663009;US
US2025057965A1;59057789;US
US2025333796A1;55272352;US
US2025367214A1;58578976;US
USRE50636E;59285319;US
US2025277261A1;60421368;US
US2025255978A1;60411649;US
US2025011357A1;59216016;US
US2025230488A1;56890843;US
US2025084485A1;50928297;US
US2025354147A1;53274273;US
US2025354204A1;52484506;US
US2025011359A1;54359301;US
US2025197860A1;54393146;US
US2025353872A1;56127491;US
US2025059533A1;57994152;US
US2025255897A1;57209904;US
US2024238444A1;81458029;US
US2024209358A1;78824792;US
US2024024492A1;81973859;US
US2024117348A1;79164969;US
US2024041050A1;82058329;US
US2024124879A1;82057976;US
US2024043864A1;82158407;US
US2024050440A1;82261079;US
US2024132886A1;80123353;US
US2024117349A1;82653867;US
US2024150769A1;80685505;US
US2024209372A1;81308558;US
US2024209374A1;83722638;US
US2024254484A1;81750529;US
US2025312422A1;67218754;US
US2025136988A1;65269095;US
US2025188463A1;65269098;US
US2025170285A1;61054209;US
US2025354135A1;67548602;US
US2025255898A1;67620018;US
US2025020643A1;60992500;US
US2025092400A1;59955744;US
US2025066827A1;60302067;US
US2025101431A1;63448977;US
US2025170060A1;63678039;US
US2025333734A1;58744546;US
US2025346945A1;64455674;US
US2025122496A1;59239872;US
US2025066775A1;65271538;US
US2025236637A1;57685056;US
US2025146064A1;62068006;US
US2025019695A1;66625209;US
US2025034199A1;68385947;US
US2025026780A1;68386041;US
US2025304962A1;62812419;US
US2025340930A1;67003666;US
US2022162617A1;81657997;US
US2025101495A1;65439247;US
US2024271144A1;81927694;US
US2024318184A1;82156510;US
US2024309375A1;82403614;US
US2024382513A1;84802048;US
US2024336663A1;84919759;US
US2025135015A1;66174189;US
US2025304612A1;66846839;US
US2025243477A1;64959323;US
US2024376478A1;93380712;US
US2024026359A1;89578083;US
US2024359161A1;91853565;US
US2022144629A1;81455121;US
US2025090670A1;67138179;US
US2025164498A1;69142569;US
US2025115946A1;67660468;US
US2025161469A1;69230560;US
US2025092399A1;64051321;US
US2024060069A1;86058603;US
US2024392292A1;87552941;US
US2024327830A1;87766713;US
US2024026363A1;89191950;US
US12145121B1;93466448;US
US2025011772A1;61903116;US
US2025367306A1;67908050;US
US2025290065A1;75538377;US
US2025305038A1;73172763;US
US2025296912A1;75973699;US
US2025092385A1;74672462;US
US2025228954A1;76993091;US
US2025215038A1;71736985;US
US2025051778A1;72941436;US
US12134798B1;93294596;US
US2024368678A1;91302828;US
US2024368596A1;91302829;US
US2024066140A1;90832942;US
US2024067744A1;90000632;US
US2024084302A1;90141628;US
US2024361318A1;91853325;US
US2024376519A1;93380642;US
US2024376491A1;93380685;US
US2025154560A1;76624215;US
US2025327073A1;79023160;US
US2025346955A1;71401636;US
US2022098615A1;80821071;US
US2025027937A1;74259607;US
US2025381301A1;74645556;US
US2025270250A1;74881724;US
US2024317794A1;92803874;US
US2024197901A1;91474668;US
US2024200068A1;91474237;US
US2024206478A1;91585131;US
US2024247261A1;91590119;US
US2024309430A1;92714650;US
US2024150768A1;88417475;US
US2024090482A1;90245413;US
US2024352541A1;93122026;US
US2025115635A1;81308070;US
US2025283155A1;82523919;US
US2025283071A1;82549549;US
US2025277254A1;74678869;US
US2025215037A1;74672451;US
US2025060346A1;74701572;US
US2025320489A1;77134631;US
US2025277221A1;77490340;US
US2025333809A1;77613427;US
US2025043284A1;77772170;US
US2024309418A1;92714667;US
US2024218372A1;91667222;US
US2024218371A1;91667221;US
US2024216416A1;91667544;US
US2025019778A1;77892523;US
US2025136984A1;76138051;US
US2025027079A1;80350548;US
US2025163419A1;80775585;US
US2025270248A1;77989771;US
US2025368999A1;81384467;US
US2025269039A1;73452106;US
US2025270548A1;81972751;US
US2025051772A1;74125006;US
US2024263220A1;90364833;US
US2024266003A1;90365030;US
US2024254552A1;91963993;US
US2024254532A1;91963979;US
US2024254548A1;91964031;US
US2024254544A1;91964085;US
US2024254543A1;91963982;US
US2024344073A1;93017098;US
US2024286104A1;92461862;US
US2025146055A1;81384719;US
US2025283132A1;75588160;US
US2025302979A1;83456861;US
US2024229126A1;91762232;US
US2024229107A1;91762222;US
US2024226845A1;89662161;US
US2024117446A1;49223275;US
US2024415868A1;60325655;US
US2024392041A1;59276840;US
US2024229039A1;57542918;US
US2024026375A1;62488586;US
US2024131093A1;64016307;US
US2024376137A1;65724384;US
US2025011773A1;81384958;US
US2025282813A1;75441760;US
US2025305046A1;75562602;US
US2025297258A1;84801315;US
US2025283170A1;84920595;US
US2025188470A1;84920555;US
US2025025564A1;84920550;US
US2025307354A1;82899341;US
US2022041668A1;80115778;US
US2022047619A1;80223764;US
US2022049254A1;80224035;US
US2025276050A1;74418234;US
US2025262314A1;74666428;US
US2025154506A1;82837921;US
US2025340957A1;80775337;US
US2025034561A1;81386899;US
US2025230490A1;83059870;US
US2025066787A1;83227995;US
US2025179110A1;75111538;US
US2022162608A1;78824509;US
US2025092403A1;81448852;US
US2025092392A1;81654857;US
US2025367302A1;83819488;US
US2025277210A1;76159403;US
US2024156853A1;68060457;US
US2024150758A1;61911421;US
US2024141362A1;72609530;US
US2024200076A1;73458360;US
US2024200060A1;73458379;US
US2024091364A1;75437450;US
US2024294571A1;75437541;US
US2025084411A1;84228935;US
US2025059534A1;76250081;US
US2025002979A1;76601067;US
US2025304613A1;84801021;US
US2024229025A1;80632404;US
US2024067971A1;80951245;US
US2024158794A1;80951850;US
US2024092819A1;73554342;US
US2024052349A1;81457390;US
US2024002848A1;81709733;US
US2024026362A1;81853844;US
US2024327832A1;82057679;US
US2024018523A1;82159941;US
US2024309366A1;82260937;US
US2024110184A1;82261078;US
US2024175032A1;82234057;US
US2025011777A1;83598723;US
US2025188455A1;85413080;US
US2025129405A1;83594124;US
US2022023204A1;75888214;US
US2022002731A1;76330453;US
US2022226445A1;80214267;US
US2022347109A1;77079186;US
US2025084476A1;85088268;US
US2025101506A1;85088049;US
US2025250561A1;85153280;US
US2025134973A1;85201019;US
US2025129427A1;77264993;US
US2025011793A1;77358166;US
US2025136990A1;83280116;US
US2025135013A1;83457049;US
US2025122143A1;77595349;US
US2025283075A1;85323369;US
US2024360445A1;78525067;US
US2024075128A1;79554246;US
US2024294864A1;72670667;US
US2024252651A1;82760897;US
US2024141357A1;82932176;US
US2024124875A1;83155561;US
US2024158789A1;83228206;US
US2024216531A1;83395216;US
US2024156966A1;83374710;US
US2024240189A1;83544925;US
US2024180849A1;83722560;US
US2024065983A1;83848888;US
US2024158798A1;84426200;US
US2024279663A1;84425421;US
US2025026783A1;86058440;US
US2025270552A1;78371963;US
US2025352667A1;84389229;US
US2025223588A1;86059614;US
US2022275374A1;75912479;US
US2022220480A1;66439949;US
US2022202951A1;71401811;US
US2022275367A1;72291099;US
US2022356451A1;74192492;US
US2022193016A1;74866487;US
US2025066414A1;85603321;US
US2025270550A1;85685055;US
US2025002912A1;85719092;US
US2025135036A1;85721202;US
US2025333740A1;85721200;US
US2025011853A1;78232295;US
US2025171832A1;84246223;US
US2025122494A1;83995529;US
US2025136979A1;84245725;US
US2025188466A1;84246040;US
US2025011779A1;84332288;US
US2025073177A1;78500458;US
US2025228953A1;84785164;US
US2025147036A1;84462926;US
US2025025570A1;86336621;US
US2025019702A1;84463017;US
US2025043337A1;84537642;US
US2025011464A1;79163469;US
US2025066790A1;84537465;US
US2025043280A1;80449213;US
US2024287517A1;84527428;US
US2024392299A1;84527356;US
US2024294921A1;84545759;US
US2024287519A1;84545767;US
US2024325537A1;84979569;US
US2024401055A1;84978771;US
US2022062191A1;72570500;US
US2022056444A1;69005983;US
US2022031865A1;71076668;US
US2022062427A1;71127722;US
US2022040220A1;71406788;US
US2022088221A1;69771021;US
US2022162616A1;65409005;US
US2022041645A1;72143373;US
US2022186262A1;70057158;US
US2022168444A1;72239925;US
US2025002915A1;86158529;US
US2025313882A1;78805940;US
US2025011786A1;86158036;US
US2025340882A1;86158148;US
US2025003013A1;84387729;US
US2025025429A1;78500464;US
US2025236599A1;84364268;US
US2022145301A1;58239928;US
US2022056456A1;58695966;US
US2022267779A1;59018392;US
US2022098272A1;59965806;US
US2022047707A1;62144653;US
US2022323481A1;62491060;US
US2022333131A1;64016722;US
US2022072027A1;65370215;US
US2022290126A1;65437128;US
US2022389428A1;66664718;US
US2022356474A1;66664357;US
US2022395526A1;66664716;US
US2022249392A1;65276214;US
US2022025374A1;67219932;US
US2022002721A1;63762431;US
US2022000778A1;70611206;US
US2022315922A1;50773796;US
US2022042095A1;51165637;US
US2022143138A1;51569292;US
US2022033815A1;52022784;US
US11312960B1;52133228;US
US2022056441A1;53183180;US
US2022280424A1;55163766;US
US2024336655A1;85154802;US
US2024352459A1;83151523;US
US2024279667A1;84332153;US
US2024425857A1;84362244;US
US2024368601A1;86335077;US
US2024110187A1;86336705;US
US2022127604A1;56127628;US
US2022031855A1;56151517;US
US2022143197A1;57126313;US
US2024175868A1;91193004;US
US2024192201A1;91381619;US
US2024209416A1;91585045;US
US2024009182A1;89432340;US
US2024024239A1;89578202;US
US2022402947A1;92300034;US
US2022112494A1;32046073;US
US2022119814A1;36125793;US
US2024043844A1;88330423;US
US2024209420A1;91585047;US
US2024207804A1;91584666;US
US2022213475A1;43796190;US
US2022380772A1;45723788;US
US2022135662A1;46581267;US
US2022155716A1;47423236;US
US2022170017A1;48613358;US
US2024141353A1;90832122;US
US2024115712A1;90575103;US
US2024123064A1;90627554;US
US2025059544A1;86773595;US
US2025059537A1;84829593;US
US2025154191A1;86774477;US
US2025049927A1;86772979;US
US2025057779A1;80625222;US
US2022275373A1;83006929;US
US2024093286A1;90244360;US
US2024132422A1;91281313;US
US2024076669A1;90061357;US
US2024076679A1;90061368;US
US2024150764A1;90927224;US
US2024165215A1;91081186;US
US2024175082A1;91192747;US
US2025019707A1;86575649;US
US2025027097A1;84981411;US
US2025263701A1;85018261;US
US2025051766A1;86613080;US
US2025051835A1;78827691;US
US2025059600A1;84785288;US
US2025003973A1;86731390;US
US2025043081A1;86731075;US
US2025034569A1;86731147;US
US2025297249A1;86730115;US
US2024173435A1;91192816;US
US2024068028A1;90000670;US
US2024071574A1;89998181;US
US2024094198A1;83398156;US
US2024141345A1;90835447;US
US2024141349A1;90835463;US
US2025051386A1;85199316;US
US2025049961A1;86903695;US
US2025064842A1;85227438;US
US2025059547A1;79165047;US
US2025250575A1;85172539;US
US2025034650A1;85222124;US
US2025066793A1;87000264;US
US2025215430A1;87073385;US
US2025092448A1;87279737;US
US2025171835A1;87349167;US
US2024026469A1;89577159;US
US2024024838A1;89577847;US
US2024207409A1;91585158;US
US2024018610A1;89510577;US
US2024043907A1;87760346;US
US2024026426A1;89577147;US
US2024026427A1;86609610;US
US2024052344A1;88646982;US
US2024035027A1;88646970;US
US2024002857A1;86688573;US
US2024002914A1;87514115;US
US2024084383A1;88878331;US
US2022195435A1;82022258;US
US2024238027A1;91855560;US
US2024002903A1;89433623;US
US2024002929A1;89433630;US
US2024002901A1;89433622;US
US2025163097A1;79021148;US
US2025163105A1;85199391;US
US2025051836A1;78957764;US
US2025066777A1;85132868;US
US2025011859A1;86903808;US
US2025101419A1;85108839;US
US12351798B1;87522301;US
US2025368988A1;87553062;US
US2025382612A1;87553059;US
US2025066843A1;85570103;US
US2025115908A1;87553060;US
US2025277214A1;87522176;US
US2025145656A1;87552623;US
US2024102017A1;88730918;US
US2024150770A1;88878327;US
US2024252666A1;88308758;US
US2024002858A1;87036742;US
US2024262851A1;89380637;US
US2024002420A1;89380471;US
US2024271130A1;92216290;US
US2024002902A1;86732504;US
US2024327845A1;79018929;US
US2024425940A1;87000034;US
US2025177559A1;85778738;US
US2025339539A1;87349171;US
US2025019694A1;87347905;US
US2025101421A1;87347803;US
US2025257359A1;87349235;US
US2025171766A1;87472591;US
US2025101503A1;85157327;US
US2024167040A1;85238940;US
US2024309329A1;92714763;US
US2024066045A1;86733562;US
US2024384358A1;87472598;US
US2024417770A1;87565050;US
US2025002917A1;87469865;US
US2025243486A1;87472653;US
US2025154504A1;85381199;US
US2025137047A1;85227175;US
US2025179134A1;87579032;US
US2025171765A1;85800639;US
US2025170259A1;85772854;US
US2025163095A1;85726913;US
US2025084413A1;87884306;US
US2025313893A1;85556622;US
US2025179009A1;80739044;US
US2024052071A1;86056983;US
US2024263222A1;86158842;US
US2024318354A1;84766930;US
US2024092817A1;86992368;US
US2024318181A1;86774345;US
US2024344068A1;93017087;US
US2024189435A1;86903292;US
US2024191291A1;83188655;US
US2024360448A1;85241017;US
US2024309372A1;85239841;US
US2024352450A1;85323396;US
US2024360450A1;85323419;US
US2024409931A1;85411547;US
US2024093283A1;86992415;US
US2022042014A1;74858822;US
US2024409997A1;85804692;US
US2024417725A1;85988073;US
US2024409932A1;85988079;US
US2024392395A1;77914270;US
US2022047621A1;77640774;US
US2025136635A1;87552616;US
US2025066761A1;85556324;US
US2025154190A1;87564999;US
US2022259645A1;74114250;US
US2022281986A1;74210027;US
US2022228151A1;72087300;US
US2022228144A1;72087301;US
US2022356492A1;74570431;US
US2022340908A1;75166441;US
US2022389497A1;73455661;US
US2024409936A1;93745359;US
US2024409937A1;93745368;US
US2024409945A1;93745352;US
US2024409938A1;93745364;US
US2024360105A1;85156293;US
US2024336962A1;85156463;US
US2024390284A1;91616772;US
US2024197905A1;85153079;US
US2024301410A1;85156199;US
US2025191759A1;85778689;US
US2025136972A1;86006532;US
US2025215483A1;87935929;US
US2025188520A1;87935343;US
US2025180468A1;88024362;US
US2025297257A1;88021861;US
US2025197845A1;88102176;US
US2025179490A1;88099395;US
US2025197859A1;88203406;US
US2024336969A1;85156464;US
US2024344135A1;85156462;US
US2024018490A1;84692022;US
US2024384304A1;82748582;US
US2024263218A1;82846472;US
US2024417735A1;93844955;US
US2025223585A1;81581560;US
US2022010323A1;64426634;US
US2022010314A1;68581802;US
US2022016156A1;70975466;US
US2022061335A1;69160275;US
US2022049252A1;69024730;US
US2022017906A1;69024749;US
