duplex_id,cell_line,timepoint_hrs,replicate,ic50_nM,ic50_unit_original,transfection_method,target_gene_name,patent_id,source_file
AD-58681,Hep3B,,,0.031,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59054,Hep3B,,,0.128,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59062,Hep3B,,,0.13,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59084,Hep3B,,,0.143,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59048,Hep3B,,,0.146,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59072,Hep3B,,,0.197,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59056,Hep3B,,,0.408,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59078,Hep3B,,,0.6,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59066,Hep3B,,,0.819,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59060,Hep3B,,,1.883,nM,free uptake,Serpina1,EP2999785,EP2999785NWB1_table_05_T4_in_vitro_tables.csv
AD-59054,Hep3B,,,0.098,,free uptake,AAT,EP2999785,EP2999785NWB1_table_10_T8_tables.csv
AD-61704,Hep3B,,,0.102,,free uptake,AAT,EP2999785,EP2999785NWB1_table_10_T8_tables.csv
AD-61708,Hep3B,,,0.147,,free uptake,AAT,EP2999785,EP2999785NWB1_table_10_T8_tables.csv
AD-61712,Hep3B,,,1.499,,free uptake,AAT,EP2999785,EP2999785NWB1_table_10_T8_tables.csv
AD-61719,Hep3B,,,0.088,,free uptake,AAT,EP2999785,EP2999785NWB1_table_10_T8_tables.csv
AD-61700,Hep3B,,,0.097,,free uptake,AAT,EP2999785,EP2999785NWB1_table_10_T8_tables.csv
AD-61726,Hep3B,,,0.059,,free uptake,AAT,EP2999785,EP2999785NWB1_table_10_T8_tables.csv
AD-61716,Hep3B,,,0.333,,free uptake,AAT,EP2999785,EP2999785NWB1_table_10_T8_tables.csv
