duplex_id,cell_line,timepoint_hrs,replicate,ic50_nM,ic50_unit_original,transfection_method,target_gene_name,patent_id,source_file
AD-58099.1,,,,3.131,nM,free uptake,,EP4365291,EP4365291NWA2_table_10_T11_tables.csv
AD-58111.1,,,,12.75,nM,free uptake,,EP4365291,EP4365291NWA2_table_10_T11_tables.csv
AD-58123.1,,,,0.679,nM,free uptake,,EP4365291,EP4365291NWA2_table_10_T11_tables.csv
AD-58088.1,,,,0.218,nM,free uptake,,EP4365291,EP4365291NWA2_table_10_T11_tables.csv
AD-58113.1,,,,7.296,nM,free uptake,,EP4365291,EP4365291NWA2_table_10_T11_tables.csv
AD-58119.1,,,,33.24,nM,free uptake,,EP4365291,EP4365291NWA2_table_10_T11_tables.csv
AD-58096.1,,,,10.38,nM,free uptake,,EP4365291,EP4365291NWA2_table_10_T11_tables.csv
AD-58108.1,,,,0.953,nM,free uptake,,EP4365291,EP4365291NWA2_table_10_T11_tables.csv
AD-58120.1,,,,36.17,nM,free uptake,,EP4365291,EP4365291NWA2_table_10_T11_tables.csv
AD-58099,,,,3.777,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58111,,,,0.622,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58123,,,,0.549,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58088,,,,9.513,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58121,,,,2.169,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58133,,,,3.802,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58116,,,,2.227,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58644.1,,,,4.596,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58651.1,,,,59.76,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58641.1,,,,0.82,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58648.1,,,,7.031,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58642.1,,,,0.5414,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58649.1,,,,3.32,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58647.1,,,,1.356,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58654.1,,,,2.09,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58645.1,,,,2.944,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58652.1,,,,5.316,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58643.1,,,,2.179,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58650.1,,,,8.223,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58646.1,,,,2.581,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58653.1,,,,2.451,nM,free uptake,,EP4365291,EP4365291NWA2_table_11_T12_tables.csv
AD-58143.1,,,,0.0364,pM,free uptake,,EP4365291,EP4365291NWA2_table_14_T15_in_vitro_tables.csv
AD-58149.1,,,,0.0057,pM,free uptake,,EP4365291,EP4365291NWA2_table_14_T15_in_vitro_tables.csv
AD-58161.1,,,,0.0781,pM,free uptake,,EP4365291,EP4365291NWA2_table_14_T15_in_vitro_tables.csv
AD-58167.1,,,,0.031,pM,free uptake,,EP4365291,EP4365291NWA2_table_14_T15_in_vitro_tables.csv
AD-58173.1,,,,0.0291,pM,free uptake,,EP4365291,EP4365291NWA2_table_14_T15_in_vitro_tables.csv
AD-S8236.1,,,,0.0527,pM,free uptake,,EP4365291,EP4365291NWA2_table_14_T15_in_vitro_tables.csv
AD-58242.1,,,,0.0089,pM,free uptake,,EP4365291,EP4365291NWA2_table_14_T15_in_vitro_tables.csv
AD-58260.1,,,,0.0077,pM,free uptake,,EP4365291,EP4365291NWA2_table_14_T15_in_vitro_tables.csv
AD-58263.1,,,,0.0966,pM,free uptake,,EP4365291,EP4365291NWA2_table_14_T15_in_vitro_tables.csv
AD-58260.1,,,,0.001,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
AD-58149.1,,,,0.0013,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
AD-58167.1,,,,0.002,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
AD-58242.1,,,,0.0006,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
AD-58236.1,,,,0.0005,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
AD-58143.1,,,,0.0009,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
AD-58279.1,,,,0.0031,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
AD-58252.1,,,,0.0072,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
AD-58173.1,,,,0.0071,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
AD-58263.1,,,,0.0032,pM,free uptake,,EP4365291,EP4365291NWA2_table_15_T16_tables.csv
